Date,Weekday,AI_Platform,AI_Model_Version,Active_Users,New_Users,Churned_Users,Daily_Churn_Rate,Retention_Rate,Query_Type,Response_Tokens,Topic_Category,User_Rating,User_Experience_Score,Session_Duration_sec,Device_Type,Response_Accuracy,Response_Speed_sec,Response_Time_Category,User_Return_Frequency,Customer_Support_Interactions
05-07-2024,Friday,ChatGPT,GPT-4-turbo,600000,30000,30000,0.05,0.95,General,425,Content Creation,3,0.79,6,Mobile,0.7881,3.82,Standard,6,3
05-07-2024,Friday,ChatGPT,GPT-4-turbo,600000,30000,30000,0.05,0.95,General,461,Best Practices,3,0.79,25,Laptop/Desktop,0.8254,3.73,Standard,10,2
05-07-2024,Friday,ChatGPT,GPT-4-turbo,600000,30000,30000,0.05,0.95,General,325,Best Practices,4,1.19,5,Laptop/Desktop,0.8165,3.66,Standard,8,0
20-10-2023,Friday,DeepSeek,DeepSeek-Chat 1.5,650000,65000,13000,0.02,0.95,Technical,299,Code Optimization,5,2.19,27,Laptop/Desktop,0.8398,0.74,Instant,7,0
20-10-2023,Friday,DeepSeek,DeepSeek-Chat 1.5,650000,65000,13000,0.02,0.95,Technical,231,Debugging,5,2.19,41,Laptop/Desktop,0.8896,0.67,Instant,5,3
20-10-2023,Friday,DeepSeek,DeepSeek-Chat 1.5,650000,65000,13000,0.02,0.95,General,243,Implementation Help,5,2.19,21,Laptop/Desktop,0.8228,0.87,Instant,9,1
20-10-2023,Friday,DeepSeek,DeepSeek-Chat 1.5,650000,65000,13000,0.02,0.95,Technical,485,Debugging,5,2.19,47,Laptop/Desktop,0.8219,0.86,Instant,3,2
20-10-2023,Friday,DeepSeek,DeepSeek-Chat 1.5,650000,65000,13000,0.02,0.95,General,438,Implementation Help,5,2.19,60,Laptop/Desktop,0.8226,0.63,Instant,5,2
20-10-2023,Friday,DeepSeek,DeepSeek-Chat 1.5,650000,65000,13000,0.02,0.95,Technical,335,Debugging,5,2.19,28,Mobile,0.8778,0.87,Instant,5,2
20-10-2023,Friday,DeepSeek,DeepSeek-Chat 1.5,650000,65000,13000,0.02,0.95,Technical,445,Debugging,5,2.19,14,Mobile,0.851,0.79,Instant,10,0
20-10-2023,Friday,DeepSeek,DeepSeek-Chat 1.5,650000,65000,13000,0.02,0.95,Technical,62,Algorithm Explanation,4,1.79,50,Mobile,0.8686,0.98,Instant,6,0
20-10-2023,Friday,DeepSeek,DeepSeek-Chat 1.5,650000,65000,13000,0.02,0.95,General,150,Implementation Help,4,1.79,23,Mobile,0.8634,0.92,Instant,7,2
20-10-2023,Friday,DeepSeek,DeepSeek-Chat 1.5,650000,65000,13000,0.02,0.95,General,298,Implementation Help,5,2.19,41,Mobile,0.905,0.94,Instant,8,1
12-08-2023,Saturday,ChatGPT,GPT-4-turbo,1150000,57500,57500,0.05,0.95,General,392,Best Practices,4,1.29,19,Mobile,0.7379,2.98,Fast,4,1
12-08-2023,Saturday,ChatGPT,GPT-4-turbo,1150000,57500,57500,0.05,0.95,General,66,Content Creation,3,0.89,7,Laptop/Desktop,0.6955,3.10,Fast,4,3
12-08-2023,Saturday,ChatGPT,GPT-4-turbo,1150000,57500,57500,0.05,0.95,General,378,Best Practices,4,1.29,21,Smart Speaker,0.7212,3.09,Fast,6,1
12-08-2023,Saturday,ChatGPT,GPT-4-turbo,1150000,57500,57500,0.05,0.95,General,341,Professional Writing,5,1.69,16,Laptop/Desktop,,2.91,Fast,7,3
12-08-2023,Saturday,ChatGPT,GPT-4-turbo,1150000,57500,57500,0.05,0.95,General,324,Best Practices,3,0.89,21,Laptop/Desktop,0.7225,2.86,Fast,2,3
12-08-2023,Saturday,ChatGPT,GPT-4-turbo,1150000,57500,57500,0.05,0.95,General,88,Best Practices,3,0.89,5,Mobile,0.6827,3.08,Fast,5,0
12-08-2023,Saturday,ChatGPT,GPT-4-turbo,1150000,57500,57500,0.05,0.95,General,142,Best Practices,3,0.89,33,Laptop/Desktop,0.7271,2.98,Fast,8,1
12-08-2023,Saturday,ChatGPT,GPT-4-turbo,1150000,57500,57500,0.05,0.95,General,120,Professional Writing,4,1.29,40,Mobile,0.662,2.91,Fast,8,1
12-08-2023,Saturday,ChatGPT,GPT-4-turbo,1150000,57500,57500,0.05,0.95,General,286,Education,3,0.89,20,Mobile,0.6781,3.07,Fast,1,2
12-08-2023,Saturday,ChatGPT,GPT-4-turbo,1150000,57500,57500,0.05,0.95,General,111,Professional Writing,4,1.29,16,Mobile,0.7178,2.94,Fast,2,0
12-01-2025,Sunday,DeepSeek,DeepSeek-Chat 1.5,2900000,290000,58000,0.02,0.95,Technical,293,Debugging,5,2.13,28,Mobile,0.9571,1.09,Fast,3,1
12-01-2025,Sunday,DeepSeek,DeepSeek-Chat 1.5,2900000,290000,58000,0.02,0.95,Technical,188,Code Optimization,5,2.13,41,Mobile,0.8963,1.12,Fast,3,3
12-01-2025,Sunday,DeepSeek,DeepSeek-Chat 1.5,2900000,290000,58000,0.02,0.95,General,500,Implementation Help,5,2.13,20,Mobile,0.9287,1.38,Fast,3,1
12-01-2025,Sunday,DeepSeek,DeepSeek-Chat 1.5,2900000,290000,58000,0.02,0.95,General,410,Implementation Help,5,2.13,10,Mobile,0.9237,1.30,Fast,8,2
12-01-2025,Sunday,DeepSeek,DeepSeek-Chat 1.5,2900000,290000,58000,0.02,0.95,Technical,153,Algorithm Explanation,5,2.13,20,Laptop/Desktop,0.9519,1.19,Fast,7,2
12-01-2025,Sunday,DeepSeek,DeepSeek-Chat 1.5,2900000,290000,58000,0.02,0.95,Technical,363,Code Optimization,5,2.13,40,Tablet,0.9391,1.18,Fast,7,2
01-04-2024,Monday,ChatGPT,GPT-4-turbo,750000,37500,37500,0.05,0.95,General,440,Professional Writing,3,0.79,32,Mobile,0.9249,3.99,Standard,1,2
14-03-2024,Thursday,DeepSeek,DeepSeek-Chat 1.5,1400000,140000,28000,0.02,0.95,Technical,486,Debugging,5,2.01,32,Mobile,0.9112,2.03,Fast,8,1
14-03-2024,Thursday,DeepSeek,DeepSeek-Chat 1.5,1400000,140000,28000,0.02,0.95,Technical,341,Debugging,5,2.01,49,Mobile,0.8973,1.80,Fast,7,2
14-03-2024,Thursday,DeepSeek,DeepSeek-Chat 1.5,1400000,140000,28000,0.02,0.95,Technical,248,Code Optimization,5,2.01,36,Mobile,0.9295,1.66,Fast,6,2
14-03-2024,Thursday,DeepSeek,DeepSeek-Chat 1.5,1400000,140000,28000,0.02,0.95,General,335,Implementation Help,5,2.01,51,Laptop/Desktop,0.9121,1.72,Fast,3,2
14-03-2024,Thursday,DeepSeek,DeepSeek-Chat 1.5,1400000,140000,28000,0.02,0.95,Technical,60,Algorithm Explanation,4,1.61,29,Laptop/Desktop,0.9909,1.98,Fast,2,2
14-03-2024,Thursday,DeepSeek,DeepSeek-Chat 1.5,1400000,140000,28000,0.02,0.95,Technical,78,Algorithm Explanation,5,2.01,40,Laptop/Desktop,0.9609,1.77,Fast,10,0
14-03-2024,Thursday,DeepSeek,DeepSeek-Chat 1.5,1400000,140000,28000,0.02,0.95,Technical,169,Debugging,5,2.01,46,Mobile,0.911,1.77,Fast,9,2
14-03-2024,Thursday,DeepSeek,DeepSeek-Chat 1.5,1400000,140000,28000,0.02,0.95,General,462,Implementation Help,5,2.01,32,Mobile,0.9826,2.02,Fast,7,0
04-06-2024,Tuesday,ChatGPT,GPT-4-turbo,650000,32500,32500,0.05,0.95,General,487,Professional Writing,4,1.25,33,Laptop/Desktop,0.7908,3.37,Standard,10,3
04-06-2024,Tuesday,ChatGPT,GPT-4-turbo,650000,32500,32500,0.05,0.95,General,343,Professional Writing,4,1.25,22,Tablet,0.7173,3.19,Standard,7,1
04-06-2024,Tuesday,ChatGPT,GPT-4-turbo,650000,32500,32500,0.05,0.95,General,486,Content Creation,4,1.25,8,Laptop/Desktop,,3.28,Standard,9,3
04-06-2024,Tuesday,ChatGPT,GPT-4-turbo,650000,32500,32500,0.05,0.95,General,227,Content Creation,5,1.65,25,Laptop/Desktop,0.7797,3.29,Standard,7,0
04-06-2024,Tuesday,ChatGPT,GPT-4-turbo,650000,32500,32500,0.05,0.95,General,88,Content Creation,5,1.65,8,Laptop/Desktop,0.7595,3.39,Standard,7,3
04-06-2024,Tuesday,ChatGPT,GPT-4-turbo,650000,32500,32500,0.05,0.95,General,162,Education,5,1.65,26,Laptop/Desktop,0.7127,3.30,Standard,7,3
04-06-2024,Tuesday,ChatGPT,GPT-4-turbo,650000,32500,32500,0.05,0.95,General,440,Best Practices,4,1.25,17,Laptop/Desktop,0.7529,3.28,Standard,2,3
04-06-2024,Tuesday,ChatGPT,GPT-4-turbo,650000,32500,32500,0.05,0.95,General,198,Best Practices,3,0.85,39,Mobile,0.7301,3.06,Standard,10,1
04-06-2024,Tuesday,ChatGPT,GPT-4-turbo,650000,32500,32500,0.05,0.95,General,201,Content Creation,4,1.25,25,Smart Speaker,0.7631,3.35,Standard,2,3
04-06-2024,Tuesday,ChatGPT,GPT-4-turbo,650000,32500,32500,0.05,0.95,General,480,Education,5,1.65,10,Mobile,0.7692,3.34,Standard,10,0
04-06-2024,Tuesday,ChatGPT,GPT-4-turbo,650000,32500,32500,0.05,0.95,General,339,Content Creation,5,1.65,31,Laptop/Desktop,0.8008,3.39,Standard,2,3
04-06-2024,Tuesday,ChatGPT,GPT-4-turbo,650000,32500,32500,0.05,0.95,General,252,Content Creation,4,1.25,26,Mobile,0.7366,3.44,Standard,5,0
04-06-2024,Tuesday,ChatGPT,GPT-4-turbo,650000,32500,32500,0.05,0.95,General,314,Education,4,1.25,28,Tablet,0.793,3.42,Standard,2,3
04-06-2024,Tuesday,ChatGPT,GPT-4-turbo,650000,32500,32500,0.05,0.95,General,183,Content Creation,5,1.65,17,Tablet,0.8095,3.32,Standard,2,1
04-06-2024,Tuesday,ChatGPT,GPT-4-turbo,650000,32500,32500,0.05,0.95,General,177,Professional Writing,4,1.25,27,Mobile,0.7869,3.25,Standard,6,0
15-08-2023,Tuesday,DeepSeek,DeepSeek-Chat 1.5,350000,35000,7000,0.02,0.95,Technical,242,Code Optimization,5,2.08,28,Mobile,0.8895,1.23,Fast,8,0
15-08-2023,Tuesday,DeepSeek,DeepSeek-Chat 1.5,350000,35000,7000,0.02,0.95,Technical,442,Algorithm Explanation,5,2.08,33,Mobile,0.8882,1.40,Fast,6,2
15-08-2023,Tuesday,DeepSeek,DeepSeek-Chat 1.5,350000,35000,7000,0.02,0.95,Technical,128,Algorithm Explanation,5,2.08,18,Laptop/Desktop,0.8896,1.31,Fast,10,0
15-08-2023,Tuesday,DeepSeek,DeepSeek-Chat 1.5,350000,35000,7000,0.02,0.95,Technical,332,Debugging,5,2.08,60,Mobile,0.8655,1.44,Fast,9,2
15-08-2023,Tuesday,DeepSeek,DeepSeek-Chat 1.5,350000,35000,7000,0.02,0.95,Technical,83,Debugging,5,2.08,56,Laptop/Desktop,0.8698,1.34,Fast,2,3
06-11-2024,Wednesday,ChatGPT,GPT-4-turbo,400000,20000,20000,0.05,0.95,General,357,Professional Writing,3,0.74,33,Mobile,0.919,4.26,Standard,6,1
06-11-2024,Wednesday,ChatGPT,GPT-4-turbo,400000,20000,20000,0.05,0.95,General,79,Best Practices,4,1.14,14,Laptop/Desktop,,3.95,Standard,8,0
06-11-2024,Wednesday,ChatGPT,GPT-4-turbo,400000,20000,20000,0.05,0.95,General,373,Professional Writing,3,0.74,33,Laptop/Desktop,0.8823,4.09,Standard,4,0
06-11-2024,Wednesday,ChatGPT,GPT-4-turbo,400000,20000,20000,0.05,0.95,General,342,Education,5,1.54,39,Laptop/Desktop,0.8773,4.04,Standard,9,0
06-11-2024,Wednesday,ChatGPT,GPT-4-turbo,400000,20000,20000,0.05,0.95,General,478,Best Practices,4,1.14,15,Mobile,0.8627,3.92,Standard,1,2
06-11-2024,Wednesday,ChatGPT,GPT-4-turbo,400000,20000,20000,0.05,0.95,General,336,Content Creation,3,0.74,26,Laptop/Desktop,0.9062,4.20,Standard,9,0
09-04-2024,Tuesday,DeepSeek,DeepSeek-Chat 1.5,1550000,155000,31000,0.02,0.95,Technical,344,Algorithm Explanation,5,2.01,25,Mobile,0.9353,1.80,Fast,6,2
09-04-2024,Tuesday,DeepSeek,DeepSeek-Chat 1.5,1550000,155000,31000,0.02,0.95,Technical,380,Code Optimization,5,2.01,19,Mobile,0.9392,1.87,Fast,8,0
29-07-2023,Saturday,ChatGPT,GPT-4-turbo,1200000,60000,60000,0.05,0.95,General,64,Content Creation,3,1.01,33,Laptop/Desktop,0.7439,2.21,Fast,6,1
29-07-2023,Saturday,ChatGPT,GPT-4-turbo,1200000,60000,60000,0.05,0.95,General,290,Content Creation,4,1.41,5,Laptop/Desktop,0.7046,2.28,Fast,9,2
29-07-2023,Saturday,ChatGPT,GPT-4-turbo,1200000,60000,60000,0.05,0.95,General,243,Best Practices,5,1.81,15,Laptop/Desktop,0.7502,2.59,Fast,3,0
29-07-2023,Saturday,ChatGPT,GPT-4-turbo,1200000,60000,60000,0.05,0.95,General,359,Education,3,1.01,25,Laptop/Desktop,0.7053,2.53,Fast,8,1
29-07-2023,Saturday,ChatGPT,GPT-4-turbo,1200000,60000,60000,0.05,0.95,General,274,Professional Writing,3,1.01,31,Mobile,0.7238,2.35,Fast,10,1
29-07-2023,Saturday,ChatGPT,GPT-4-turbo,1200000,60000,60000,0.05,0.95,General,121,Professional Writing,3,1.01,30,Mobile,0.685,2.30,Fast,5,2
29-07-2023,Saturday,ChatGPT,GPT-4-turbo,1200000,60000,60000,0.05,0.95,General,174,Best Practices,3,1.01,29,Laptop/Desktop,0.6719,2.24,Fast,6,2
29-07-2023,Saturday,ChatGPT,GPT-4-turbo,1200000,60000,60000,0.05,0.95,General,451,Best Practices,5,1.81,11,Mobile,0.7349,2.20,Fast,9,3
29-07-2023,Saturday,ChatGPT,GPT-4-turbo,1200000,60000,60000,0.05,0.95,General,96,Education,4,1.41,7,Mobile,0.6725,2.24,Fast,7,1
29-07-2023,Saturday,ChatGPT,GPT-4-turbo,1200000,60000,60000,0.05,0.95,General,433,Education,3,1.01,39,Laptop/Desktop,0.719,2.56,Fast,6,3
29-07-2023,Saturday,ChatGPT,GPT-4-turbo,1200000,60000,60000,0.05,0.95,General,197,Professional Writing,5,1.81,33,Laptop/Desktop,0.7205,2.55,Fast,10,2
29-07-2023,Saturday,ChatGPT,GPT-4-turbo,1200000,60000,60000,0.05,0.95,General,178,Best Practices,5,1.81,12,Laptop/Desktop,0.6965,2.37,Fast,7,1
29-07-2023,Saturday,ChatGPT,GPT-4-turbo,1200000,60000,60000,0.05,0.95,General,164,Content Creation,5,1.81,16,Mobile,0.7108,2.37,Fast,2,3
29-07-2023,Saturday,ChatGPT,GPT-4-turbo,1200000,60000,60000,0.05,0.95,General,246,Content Creation,4,1.41,26,Laptop/Desktop,0.7374,2.33,Fast,10,3
29-07-2023,Saturday,ChatGPT,GPT-4-turbo,1200000,60000,60000,0.05,0.95,General,112,Content Creation,4,1.41,20,Mobile,0.7622,2.35,Fast,9,1
29-07-2023,Saturday,ChatGPT,GPT-4-turbo,1200000,60000,60000,0.05,0.95,General,346,Best Practices,4,1.41,28,Mobile,0.6972,2.43,Fast,7,2
29-07-2023,Saturday,ChatGPT,GPT-4-turbo,1200000,60000,60000,0.05,0.95,General,462,Best Practices,4,1.41,11,Laptop/Desktop,0.7504,2.40,Fast,5,3
29-07-2023,Saturday,ChatGPT,GPT-4-turbo,1200000,60000,60000,0.05,0.95,General,357,Best Practices,3,1.01,13,Laptop/Desktop,0.7556,2.58,Fast,2,0
29-07-2023,Saturday,ChatGPT,GPT-4-turbo,1200000,60000,60000,0.05,0.95,General,439,Professional Writing,3,1.01,29,Mobile,0.768,2.47,Fast,9,2
27-11-2023,Monday,DeepSeek,DeepSeek-Chat 1.5,800000,80000,16000,0.02,0.95,General,331,Implementation Help,5,1.99,30,Tablet,0.8795,1.75,Fast,6,3
27-11-2023,Monday,DeepSeek,DeepSeek-Chat 1.5,800000,80000,16000,0.02,0.95,Technical,144,Code Optimization,5,1.99,11,Mobile,0.8875,1.97,Fast,8,0
31-05-2024,Friday,ChatGPT,GPT-4-turbo,700000,35000,35000,0.05,0.95,General,445,Best Practices,5,1.83,23,Tablet,0.8208,2.59,Fast,5,3
31-05-2024,Friday,ChatGPT,GPT-4-turbo,700000,35000,35000,0.05,0.95,General,448,Education,4,1.43,17,Laptop/Desktop,0.7818,2.56,Fast,4,3
31-05-2024,Friday,ChatGPT,GPT-4-turbo,700000,35000,35000,0.05,0.95,General,160,Best Practices,3,1.03,16,Mobile,0.8083,2.48,Fast,9,3
04-04-2024,Thursday,DeepSeek,DeepSeek-Chat 1.5,1550000,155000,31000,0.02,0.95,Technical,195,Code Optimization,5,2.07,21,Laptop/Desktop,0.8363,1.49,Fast,10,2
31-05-2024,Friday,ChatGPT,GPT-4-turbo,700000,35000,35000,0.05,0.95,General,222,Education,5,1.33,27,Mobile,0.7557,4.93,Standard,1,0
31-05-2024,Friday,ChatGPT,GPT-4-turbo,700000,35000,35000,0.05,0.95,General,147,Professional Writing,3,0.53,38,Mobile,0.786,4.93,Standard,5,3
31-05-2024,Friday,ChatGPT,GPT-4-turbo,700000,35000,35000,0.05,0.95,General,422,Education,4,0.93,39,Tablet,0.7768,4.79,Standard,3,2
31-05-2024,Friday,ChatGPT,GPT-4-turbo,700000,35000,35000,0.05,0.95,General,356,Professional Writing,3,0.53,10,Mobile,0.7568,5.14,Standard,10,1
31-05-2024,Friday,ChatGPT,GPT-4-turbo,700000,35000,35000,0.05,0.95,General,338,Best Practices,4,0.93,5,Mobile,0.8044,4.93,Standard,1,2
31-05-2024,Friday,ChatGPT,GPT-4-turbo,700000,35000,35000,0.05,0.95,General,146,Professional Writing,5,1.33,26,Mobile,0.772,4.91,Standard,1,0
31-05-2024,Friday,ChatGPT,GPT-4-turbo,700000,35000,35000,0.05,0.95,General,271,Education,3,0.53,8,Laptop/Desktop,0.7985,4.78,Standard,4,1
20-11-2023,Monday,DeepSeek,DeepSeek-Chat 1.5,800000,80000,16000,0.02,0.95,Technical,136,Algorithm Explanation,5,1.98,37,Mobile,0.8887,1.99,Fast,5,0
20-11-2023,Monday,DeepSeek,DeepSeek-Chat 1.5,800000,80000,16000,0.02,0.95,General,367,Implementation Help,5,1.98,59,Mobile,0.8791,2.06,Fast,2,3
20-11-2023,Monday,DeepSeek,DeepSeek-Chat 1.5,800000,80000,16000,0.02,0.95,General,491,Implementation Help,5,1.98,48,Mobile,0.9262,1.86,Fast,5,3
28-12-2024,Saturday,ChatGPT,GPT-4-turbo,350000,17500,17500,0.05,0.95,General,316,Best Practices,5,1.57,8,Mobile,0.768,3.80,Standard,7,1
28-12-2024,Saturday,ChatGPT,GPT-4-turbo,350000,17500,17500,0.05,0.95,General,395,Education,4,1.17,11,Laptop/Desktop,0.8011,3.86,Standard,5,2
28-12-2024,Saturday,ChatGPT,GPT-4-turbo,350000,17500,17500,0.05,0.95,General,246,Education,4,1.17,37,Mobile,0.7833,3.68,Standard,1,1
